DateTime;T1 (in voor ww);T5 (in na ww);T2 (uit voor ww);T3 (uit na ww);Bypass status;Supply flow sp;Exhaust flow sp
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:50:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 08:51:00;16,3;22,2;22,9;17,4;0;3500;3500
13/07/2017 09:00:00;16,6;22,3;23,1;17,7;0;3500;3500
13/07/2017 09:10:00;17,2;22,5;23,2;18,2;0;3500;3500
13/07/2017 09:20:00;17,4;22,6;23,4;18,4;0;3500;3500
13/07/2017 09:30:00;17,5;22,8;23,5;18,4;0;3500;3500
13/07/2017 09:40:00;18,3;18,7;23,6;23,2;1;5000;5000
13/07/2017 09:50:00;19,2;19,5;23,6;23,3;1;5000;5000
13/07/2017 10:00:00;19,3;19,7;23,7;23,4;1;5000;5000
13/07/2017 10:10:00;19,9;20,2;23,8;23,6;1;5000;5000
13/07/2017 10:20:00;20,0;20,3;23,8;23,6;1;5000;5000
13/07/2017 10:30:00;19,2;19,6;23,9;23,6;1;5000;5000
13/07/2017 10:40:00;19,1;19,3;24,0;23,6;1;5000;5000
13/07/2017 10:50:00;19,3;19,6;24,0;23,6;1;5000;5000
13/07/2017 11:00:00;21,1;21,4;24,1;23,9;1;5000;5000
13/07/2017 11:10:00;21,4;21,6;24,2;24,0;1;5000;5000
13/07/2017 11:20:00;20,8;21,0;24,4;24,1;1;5000;5000
13/07/2017 11:30:00;20,6;20,8;24,4;24,1;1;5000;5000
13/07/2017 11:40:00;19,4;19,8;24,4;24,1;1;5000;5000
